company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Bournemouth Home Plumbing,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/bournemouth-home-plumbing/eERao/,bark
ATD Home Improvements,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/atd-home-improvements/Mja4g/,bark
Comfort Bathrooms,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/comfort-bathrooms/E6RAM/,bark
Innovation design and build,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/innovation-design-and-build/leBZY/,bark
South Coast Kitchens &  Refurbishments,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/south-coast-kitchens---refurbishments/dJaak/,bark
S & S Kitchens,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/s--s-kitchens/Z7NPl/,bark
The Big Conversion Company LTD,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/the-big-conversion-company-ltd/L8OG9/,bark
Chorley Plumbing & Heating,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/chorley-plumbing--heating/O27Pe/,bark
Quick Creative Solutions Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/quick-creative-solutions-ltd/Z941A/,bark
AJL Mechanical Services Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/ajl-mechanical-services-ltd/MR0AX/,bark
Magic Bathroom Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/magic-bathroom-ltd/n7mZM/,bark
New Era Heating &amp; Plumbing Ltd.,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/new-era-heating-ampamp-plumbing-ltd/NAz77/,bark
Nu-Eco Heat Ltd,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/nu-eco-heat-ltd-/ay6mw/,bark
R-Line Plumbing & Heating Ltd,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/r-line-plumbing-amp-heating-ltd/jJAKZ/,bark
BC Plumbing and Heating Services,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/bc-plumbing-and-heating-services/RQQRl/,bark
MS Property Maintenance,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/ms-property-maintenance/QPZ4E/,bark
Hamiltons plumbing heating & bathrooms,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/hamiltons-plumbing-heating--bathrooms/g1JV9/,bark
Leeway Brothers Ltd,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/leeway-brothers-ltd/oe6pJ/,bark
Hillbank Bathrooms,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/hillbank-bathrooms/een8w/,bark
Dinamo Construction Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/dinamo-construction-ltd/YGqO6/,bark
Three Shires Property Services Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/three-shires-property-services-ltd/BmRq7/,bark
LCA Maintenance Services Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/lca-maintenance-services-ltd/qJoBz/,bark
London ProTilers LTD,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/london-protilers-ltd/m3VNE/,bark
Smt plumbing and heating,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/smt-plumbing-and-heating/B0GL2/,bark
Promaxx ltd,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/promaxx-ltd/Qdng8/,bark
C S Dyer & Son,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/c-s-dyer--son/PV37n/,bark
