company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"Cavitech UK","Mr Teri","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.78,9.93,9.72,9.67,551,12,"186225104",Yes,Yes,Yes,"https://www.checkatrade.com/trades/cavitechuk",cavitechuk
"Vac-xtract Ltd","Mr Jamie","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.82,9.84,9.81,9.81,802,3,"203003880",Yes,Yes,Yes,"https://www.checkatrade.com/trades/vacxtract309444",vacxtract309444
"LOFT INSULATION EXPERTS LTD","Andrew Matthews","Insulation","how our","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,81,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/loftinsulationexpertsltd1072656",loftinsulationexpertsltd1072656
"Berks & Hants Roofing","Mr Sam","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.83,9.5,10,10,39,4,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/berksandhantsroofing",berksandhantsroofing
"Heat Save Scotland Ltd","Mr Gemma","Insulation","the cost","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,3,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/heatsavescotlandltd",heatsavescotlandltd
"Elite Insulation Services Ltd","Mr Daniel","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,,,,3,1,"",Yes,No,Yes,"https://www.checkatrade.com/trades/eliteinsulationservicesltd",eliteinsulationservicesltd
"Insulation Installers Scotland Ltd","Mr Nathan","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,1,,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/insulationinstallersscotlandltd",insulationinstallersscotlandltd
"RGM Heating","Mr Graeme","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,47,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/rgmheating",rgmheating
"Novo Lofts Ltd","Mr Pierre","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.96,9.95,9.98,9.96,121,2,"488759704",Yes,Yes,Yes,"https://www.checkatrade.com/trades/novolofts",novolofts
"Brighton Soundproofing Ltd","Mr Grant","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.86,10,10,9.57,121,9,"231056450",Yes,Yes,Yes,"https://www.checkatrade.com/trades/brightonsoundproofingltd",brightonsoundproofingltd
